Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp difference,Power,Wear severity,Load factor
M,298.7,309.4,1375,48.3,157,0,10.699999999999989,6954.700736884403,7583.099999999999,0.0351272727272727
L,298.7,309.5,1446,40.0,160,0,10.800000000000011,6056.9906361211215,6400.0,0.0276625172890733
M,298.7,309.6,1455,46.8,162,0,10.900000000000034,7130.787005118112,7581.599999999999,0.0321649484536082
L,298.8,309.6,1523,41.9,165,0,10.800000000000011,6682.555037279433,6913.5,0.0275114904793171
M,298.8,309.6,1692,31.9,167,0,10.800000000000011,5652.227838632612,5327.3,0.018853427895981
M,298.8,309.6,1693,33.3,170,0,10.800000000000011,5903.775162405547,5660.999999999999,0.0196692262256349
L,298.8,309.6,1890,24.0,173,0,10.800000000000011,4750.088092227767,4152.0,0.0126984126984126
H,298.9,309.6,1600,33.5,175,0,10.700000000000044,5612.978874413764,5862.5,0.0209375
M,298.9,309.6,1434,43.8,180,0,10.700000000000044,6577.364043261734,7883.999999999999,0.0305439330543933
L,298.9,309.6,1365,50.9,183,0,10.700000000000044,7275.771506081281,9314.7,0.0372893772893772
H,298.8,309.6,1309,57.4,185,0,10.800000000000011,7868.286352523827,10619.0,0.0438502673796791
H,298.9,309.6,1546,35.3,190,0,10.700000000000044,5714.954971949288,6706.999999999999,0.0228331177231565
L,298.9,309.6,1663,33.7,195,0,10.700000000000044,5868.819708146605,6571.500000000001,0.0202645820805772
L,298.9,309.6,1589,34.2,197,0,10.700000000000044,5690.869428271767,6737.400000000001,0.0215229704216488
M,298.9,309.6,1472,46.0,199,0,10.700000000000044,7090.7840586624025,9154.0,0.03125
L,298.9,309.6,1583,39.8,202,0,10.700000000000044,6597.700619705972,8039.599999999999,0.025142135186355
M,298.9,309.6,1567,34.5,204,0,10.700000000000044,5661.307041401487,7038.0,0.0220165922144224
L,298.9,309.7,1407,41.9,207,0,10.800000000000011,6173.575139495838,8673.3,0.0297796730632551
M,299.0,309.7,1418,44.7,209,0,10.699999999999989,6637.619790357587,9342.3,0.0315232722143864
M,299.0,309.7,1489,40.7,212,0,10.699999999999989,6346.258015688158,8628.400000000001,0.0273337810611148
L,299.1,309.9,1586,36.6,215,0,10.799999999999956,6078.730457283963,7869.0,0.023076923076923
L,299.1,309.8,1398,55.4,217,1,10.699999999999989,8110.461258213553,12021.8,0.0396280400572246
L,299.2,309.9,1516,41.4,219,0,10.699999999999989,6572.463158722134,9066.6,0.0273087071240105
H,299.3,310.0,1373,44.8,221,0,10.699999999999989,6441.35402531232,9900.8,0.0326292789512017
M,299.2,310.0,1349,50.4,226,0,10.800000000000011,7119.85426268362,11390.4,0.0373610081541882
H,299.1,309.9,1443,40.3,0,0,10.799999999999956,6089.757447498063,0.0,0.0279279279279279
H,299.2,310.1,1542,36.1,5,0,10.900000000000034,5829.350832442005,180.5,0.0234111543450064
L,299.2,310.1,1534,37.7,10,0,10.900000000000034,6056.131934129141,377.0,0.0245762711864406
L,299.2,310.2,1697,30.6,12,0,11.0,5437.908387804718,367.2000000000001,0.0180318208603417
L,299.3,310.3,1396,47.4,14,0,11.0,6929.348084169935,663.6,0.0339541547277936
L,299.3,310.2,1495,49.2,16,0,10.899999999999975,7702.556868071455,787.2,0.0329096989966555
M,299.2,310.3,1551,44.8,18,0,11.100000000000025,7276.431240538536,806.4,0.0288845905867182
L,299.2,310.3,1440,47.0,21,0,11.100000000000025,7087.433026498574,987.0,0.0326388888888888
L,299.2,310.3,1429,40.1,23,0,11.100000000000025,6000.745655646353,922.3,0.0280615815255423
H,299.3,310.4,1548,41.6,25,0,11.099999999999966,6743.617126489708,1040.0,0.0268733850129198
L,299.3,310.5,1505,38.8,30,0,11.199999999999989,6115.005380457412,1164.0,0.0257807308970099
L,299.2,310.4,1611,36.4,32,0,11.199999999999989,6140.808328118897,1164.8,0.0225946617008069
M,299.2,310.4,1502,39.8,34,0,11.199999999999989,6260.105073151212,1353.1999999999998,0.0264980026631158
M,299.2,310.4,1504,43.3,37,0,11.199999999999989,6819.685556608628,1602.1,0.0287898936170212
L,299.1,310.3,1449,40.7,40,0,11.199999999999989,6175.774254353352,1628.0,0.0280883367839889
L,299.0,310.2,1575,37.8,42,0,11.199999999999989,6234.490621048944,1587.6,0.0239999999999999
M,299.0,310.2,1598,33.4,44,0,11.199999999999989,5589.228433952624,1469.6,0.02090112640801
L,299.0,310.1,1416,45.9,47,0,11.100000000000025,6806.197652149215,2157.3,0.0324152542372881
L,299.0,310.2,1682,28.8,49,0,11.199999999999989,5072.792489604512,1411.2,0.0171224732461355
L,298.9,310.1,1341,54.5,51,0,11.200000000000044,7653.390943042775,2779.5,0.0406413124533929
L,298.9,310.1,1523,39.1,53,0,11.200000000000044,6235.988113547156,2072.3,0.0256730137885751
L,299.0,310.1,1580,41.9,55,0,11.100000000000025,6932.657228431716,2304.5,0.0265189873417721
L,299.0,310.1,1531,36.0,57,0,11.100000000000025,5771.734023175169,2052.0,0.023514043109079
L,299.0,310.1,1375,48.9,59,0,11.100000000000025,7041.094534858124,2885.1,0.0355636363636363
M,298.9,310.1,1484,40.4,61,0,11.200000000000044,6278.326310542034,2464.4,0.0272237196765498
M,299.0,310.2,1657,32.3,64,0,11.199999999999989,5604.716485734823,2067.2,0.0194930597465298
L,299.0,310.2,1494,40.6,67,0,11.199999999999989,6351.923354440131,2720.2000000000003,0.0271753681392235
H,299.0,310.3,1658,27.6,69,0,11.300000000000011,4792.059770079727,1904.4,0.0166465621230398
L,299.1,310.3,1411,42.1,74,0,11.199999999999989,6220.678085348661,3115.4,0.0298369950389794
M,299.2,310.4,1395,55.4,76,0,11.199999999999989,8093.056834912666,4210.4,0.0397132616487455
L,299.1,310.4,1550,43.9,79,0,11.299999999999956,7125.655737117249,3468.1,0.0283225806451612
M,299.1,310.3,1233,59.0,81,0,11.199999999999989,7618.048025689889,4779.0,0.0478507704785077
L,299.1,310.3,1459,46.7,84,0,11.199999999999989,7135.111931004555,3922.8,0.0320082248115147
H,299.1,310.4,1405,53.6,86,0,11.299999999999956,7886.235318551338,4609.6,0.0381494661921708
L,299.2,310.5,1458,44.1,91,0,11.300000000000011,6733.24987073286,4013.1,0.0302469135802469
L,299.2,310.5,1384,48.7,93,0,11.300000000000011,7058.195270869164,4529.1,0.0351878612716763
L,299.2,310.5,1705,29.5,95,0,11.300000000000011,5267.141883131088,2802.5,0.0173020527859237
L,299.3,310.6,1443,45.7,97,0,11.300000000000011,6905.754723341476,4432.900000000001,0.0316701316701316
M,299.3,310.6,1609,31.4,99,0,11.300000000000011,5290.714300008522,3108.6,0.0195152268489745
L,299.3,310.5,1818,26.0,102,0,11.199999999999989,4949.893384996078,2652.0,0.0143014301430143
M,299.3,310.6,1457,42.1,104,0,11.300000000000011,6423.478363113395,4378.400000000001,0.028894989704873
L,299.3,310.6,1480,45.1,107,0,11.300000000000011,6989.83421472705,4825.7,0.0304729729729729
L,299.4,310.8,1424,47.7,109,0,11.400000000000034,7113.068422551866,5199.3,0.0334971910112359
M,299.4,310.8,1628,40.2,111,0,11.400000000000034,6853.447205659207,4462.200000000001,0.0246928746928746
M,299.5,310.8,1754,31.3,114,0,11.300000000000011,5749.135500020346,3568.2000000000003,0.0178449258836944
L,299.6,310.9,1716,28.5,117,0,11.299999999999956,5121.424343882081,3334.5,0.0166083916083916
M,299.5,310.9,1378,48.7,119,0,11.399999999999975,7027.596158423199,5795.3,0.0353410740203193
L,299.6,311.0,1708,31.0,122,0,11.399999999999975,5544.701594075746,3782.0,0.0181498829039812
L,299.6,311.0,1430,38.3,124,0,11.399999999999975,5735.396268148646,4749.2,0.0267832167832167
M,299.7,311.2,1560,43.9,126,0,11.5,7171.62770961478,5531.4,0.0281410256410256
L,299.6,311.1,1679,30.7,129,0,11.5,5397.811193569399,3960.3,0.0182846932698034
L,299.6,311.1,1521,37.2,131,0,11.5,5925.169408376493,4873.200000000001,0.0244575936883629
M,299.6,311.1,1649,33.8,133,0,11.5,5836.681215300381,4495.4,0.0204972710733778
M,299.5,311.0,1451,43.3,136,0,11.5,6579.36419058452,5888.799999999999,0.029841488628532
L,299.4,310.8,1391,48.9,139,0,11.400000000000034,7123.027271263746,6797.099999999999,0.0351545650611071
M,299.3,310.8,1523,40.9,141,0,11.5,6523.066850232191,5766.9,0.026854891661195
L,299.3,310.7,1495,39.2,144,0,11.399999999999975,6136.996529032543,5644.8,0.0262207357859531
M,299.3,310.7,1440,45.5,146,0,11.399999999999975,6861.238355440108,6643.0,0.0315972222222222
H,299.4,310.8,1585,31.4,149,0,11.400000000000034,5211.797492550347,4678.599999999999,0.0198107255520504
L,299.5,310.8,1374,48.3,154,0,11.300000000000011,6949.6427727121245,7438.2,0.0351528384279475
M,299.5,310.8,1507,40.2,156,0,11.300000000000011,6344.069372806158,6271.200000000001,0.0266755142667551
M,299.5,310.9,1577,34.6,159,0,11.399999999999975,5713.9496623001405,5501.400000000001,0.0219403931515535
L,299.5,310.9,1496,38.5,162,0,11.399999999999975,6031.439015871924,6237.0,0.025735294117647
L,299.6,310.9,1487,42.5,164,0,11.299999999999956,6618.026724174698,6970.0,0.0285810356422326
L,299.6,310.9,1853,26.3,166,0,11.299999999999956,5103.402074025988,4365.8,0.0141932002158661
M,299.7,311.0,1435,50.1,168,0,11.300000000000011,7528.669714695261,8416.800000000001,0.0349128919860627
M,299.8,311.1,1763,25.5,171,0,11.300000000000011,4707.833671036985,4360.5,0.0144639818491208
L,299.8,311.1,1820,24.9,174,0,11.300000000000011,4745.6898625127415,4332.599999999999,0.0136813186813186
M,299.8,311.1,1498,38.1,176,0,11.300000000000011,5976.754359748438,6705.6,0.02543391188251
L,299.8,311.1,1603,35.1,179,0,11.300000000000011,5892.088437734193,6282.900000000001,0.0218964441671865
L,299.8,311.1,1412,42.5,181,0,11.300000000000011,6284.232504730783,7692.5,0.030099150141643
L,299.8,311.1,1588,38.0,183,0,11.300000000000011,6319.208902940749,6954.0,0.0239294710327455
M,299.8,311.0,1948,20.0,185,0,11.199999999999989,4079.881659461944,3700.0,0.0102669404517453
L,299.7,310.9,1384,48.2,188,0,11.199999999999989,6985.729200326359,9061.6,0.0348265895953757
L,299.7,310.8,1589,36.0,190,0,11.100000000000025,5990.388871865018,6840.0,0.0226557583385777
M,299.7,310.8,1405,47.6,192,0,11.100000000000025,7003.447782892607,9139.2,0.0338790035587188
L,299.7,310.9,1491,40.1,195,0,11.199999999999989,6261.09991082485,7819.5,0.0268947015425888
H,299.7,310.8,1418,46.6,197,0,11.100000000000025,6919.755754600975,9180.2,0.0328631875881523
M,299.6,310.8,1603,35.4,202,0,11.199999999999989,5942.448167971237,7150.799999999999,0.0220835932626325
L,299.6,310.7,1922,23.3,205,1,11.099999999999966,4689.622905621675,4776.5,0.0121227887617065
M,299.5,310.7,1364,49.5,0,0,11.199999999999989,7070.468426169187,0.0,0.0362903225806451
L,299.4,310.7,1551,41.2,3,0,11.300000000000011,6691.718015852403,123.6,0.0265635074145712
L,299.5,310.7,1589,33.5,5,0,11.199999999999989,5574.389644652169,167.5,0.0210824417872876
M,299.5,310.7,1423,56.5,7,0,11.199999999999989,8419.415951743085,395.5,0.0397048489107519
L,299.4,310.6,1418,53.1,10,0,11.200000000000044,7884.957737538878,531.0,0.0374471086036671
M,299.3,310.5,1404,47.5,12,0,11.199999999999989,6983.76046893011,570.0,0.0338319088319088
L,299.3,310.5,1281,59.8,15,0,11.199999999999989,8021.931177235393,897.0,0.0466822794691647
L,299.3,310.5,1529,41.3,17,0,11.199999999999989,6612.811680369739,702.0999999999999,0.0270111183780248
M,299.3,310.5,1563,42.1,19,0,11.199999999999989,6890.800742310388,799.9,0.0269353806781829
L,299.4,310.6,1348,54.5,22,0,11.200000000000044,7693.341529620924,1199.0,0.0404302670623145
M,299.3,310.5,1462,40.5,24,0,11.199999999999989,6200.561420390175,972.0,0.0277017783857729
H,299.3,310.4,1510,45.5,27,0,11.099999999999966,7194.770775496224,1228.5,0.0301324503311258
L,299.2,310.4,1472,43.3,32,0,11.199999999999989,6674.5858639148255,1385.6,0.0294157608695652
M,299.2,310.4,1325,52.0,34,0,11.199999999999989,7215.191127744559,1768.0,0.0392452830188679
L,299.2,310.4,1570,37.3,37,0,11.199999999999989,6132.493579562395,1380.1,0.0237579617834394
L,299.2,310.4,1379,46.8,39,0,11.199999999999989,6758.319780108506,1825.2,0.0339376359680928
L,299.1,310.2,1352,52.8,41,0,11.099999999999966,7475.482551069985,2164.8,0.0390532544378698
L,299.1,310.3,1727,28.7,43,0,11.199999999999989,5190.424190530424,1234.1,0.0166184134337
H,299.0,310.1,1432,50.0,45,0,11.100000000000025,7497.934466567639,2250.0,0.0349162011173184
L,298.9,310.1,1466,43.4,50,0,11.200000000000044,6662.73158763528,2170.0,0.0296043656207367
L,298.9,310.1,1510,38.0,52,0,11.200000000000044,6008.819548766077,1976.0,0.0251655629139072
L,299.0,310.2,1490,41.1,54,0,11.199999999999989,6412.933083772846,2219.4,0.0275838926174496
L,299.0,310.1,1463,37.4,56,0,11.100000000000025,5729.867065078329,2094.4,0.025563909774436
M,298.9,310.0,1561,45.3,58,0,11.100000000000025,7405.079459703036,2627.4,0.0290198590647021
L,298.9,310.1,2109,18.0,61,0,11.200000000000044,3975.371343852524,1098.0,0.0085348506401137
L,298.9,310.2,1705,32.5,63,0,11.300000000000011,5802.783430568147,2047.5,0.0190615835777126
M,298.9,310.1,1549,40.2,65,0,11.200000000000044,6520.878207350191,2613.0,0.0259522272433828
H,299.0,310.2,1637,38.0,68,0,11.199999999999989,6514.197086973555,2584.0,0.0232131948686621
M,298.9,310.1,1484,37.9,73,0,11.200000000000044,5889.816019048097,2766.7,0.0255390835579514
L,298.9,310.1,1401,44.4,76,0,11.200000000000044,6514.029535365364,3374.4,0.0316916488222698
L,298.9,310.1,1571,36.8,78,0,11.200000000000044,6054.142258781866,2870.4,0.0234245703373647
M,298.9,310.1,1513,41.5,80,0,11.200000000000044,6575.3010640858765,3320.0,0.0274289491077329
L,299.0,310.1,1470,40.3,83,0,11.100000000000025,6203.703013043764,3344.9,0.0274149659863945
L,299.0,310.1,1505,41.3,85,0,11.100000000000025,6509.013459095132,3510.4999999999995,0.0274418604651162
L,299.0,310.2,1432,42.2,87,0,11.199999999999989,6328.256689783088,3671.4,0.0294692737430167
M,299.0,310.2,1625,31.8,89,0,11.199999999999989,5411.393345808419,2830.2000000000003,0.0195692307692307
L,299.0,310.2,1377,62.5,92,1,11.199999999999989,9012.44392498572,5750.0,0.0453885257806826
M,299.1,310.3,1441,43.9,94,0,11.199999999999989,6624.561236894166,4126.599999999999,0.0304649548924358
M,299.0,310.2,1564,39.9,97,0,11.199999999999989,6534.8897105852,3870.3,0.0255115089514066
L,298.9,310.1,1580,37.3,100,0,11.200000000000044,6171.5540482220285,3730.0,0.0236075949367088
L,299.0,310.2,1516,35.3,102,0,11.199999999999989,5604.056751277569,3600.6,0.0232849604221635
L,299.0,310.1,1447,42.8,104,0,11.100000000000025,6485.461986168721,4451.2,0.0295784381478921
M,298.9,310.0,1323,52.9,106,0,11.100000000000025,7328.990085633091,5607.4,0.0399848828420257
L,298.9,310.0,1470,45.9,109,0,11.100000000000025,7065.756037188804,5003.099999999999,0.0312244897959183
M,299.0,310.0,2049,19.5,111,0,11.0,4184.130175683566,2164.5,0.0095168374816983
L,298.9,310.0,1794,27.2,114,0,11.100000000000025,5109.988946623013,3100.8,0.0151616499442586
L,298.9,310.1,1356,47.8,116,0,11.200000000000044,6787.599423639962,5544.799999999999,0.0352507374631268
H,299.0,310.1,1555,38.6,118,0,11.100000000000025,6285.593861547339,4554.8,0.0248231511254019
M,299.0,310.1,1487,47.5,123,0,11.100000000000025,7396.618103489369,5842.5,0.0319435104236718
M,299.0,310.0,1341,58.9,126,0,11.0,8271.279386150814,7421.4,0.0439224459358687
M,298.9,310.0,1487,36.6,129,0,11.100000000000025,5699.288896583387,4721.400000000001,0.0246133154001345
H,299.0,310.0,1569,34.3,132,0,11.0,5635.671645348193,4527.599999999999,0.0218610579987253
H,299.0,310.1,2053,19.7,137,0,11.100000000000025,4235.296248035032,2698.9,0.0095957135898684
L,299.0,310.1,1583,35.8,142,0,11.100000000000025,5934.615130288287,5083.599999999999,0.0226152874289324
L,299.0,310.0,1672,33.2,144,0,11.0,5813.035494594363,4780.8,0.0198564593301435
M,299.0,310.0,1337,57.4,146,0,11.0,8036.591942952145,8380.4,0.0429319371727748
H,299.1,310.1,1421,41.2,149,0,11.0,6130.839007431507,6138.8,0.02899366643209
L,299.1,310.2,1425,52.7,154,0,11.099999999999966,7864.1918100986495,8115.8,0.0369824561403508
L,299.2,310.2,1609,33.2,156,0,11.0,5594.003654786081,5179.200000000001,0.0206339341205717
L,299.2,310.3,1507,41.3,158,0,11.100000000000025,6517.663310868016,6525.4,0.0274054412740544
L,299.2,310.3,1463,38.9,160,0,11.100000000000025,5959.674567688421,6224.0,0.0265892002734107
H,299.3,310.4,1393,44.9,162,0,11.099999999999966,6549.770387787704,7273.8,0.0322325915290739
L,299.3,310.4,1725,26.8,167,0,11.099999999999966,4841.194279181871,4475.6,0.0155362318840579
L,299.4,310.5,1514,36.1,169,0,11.100000000000025,5723.500103967052,6100.900000000001,0.0238441215323646
L,299.3,310.4,1365,53.9,171,0,11.099999999999966,7704.598903296287,9216.9,0.0394871794871794
L,299.4,310.5,1372,46.3,173,0,11.100000000000025,6652.175836319219,8009.9,0.0337463556851311
L,299.4,310.4,1509,40.6,175,0,11.0,6415.697685308004,7105.0,0.0269052352551358
L,299.3,310.4,1629,32.6,177,0,11.099999999999966,5561.184483531581,5770.2,0.020012277470841
L,299.4,310.5,1749,28.1,179,0,11.100000000000025,5146.651332890408,5029.900000000001,0.0160663236134934
L,299.4,310.4,1582,31.7,181,0,11.0,5251.6328873978655,5737.7,0.0200379266750948
L,299.2,310.2,1458,47.0,183,0,11.0,7176.025939329805,8601.0,0.032235939643347
L,299.1,310.1,1416,41.2,185,0,11.0,6109.266737876856,7622.000000000001,0.0290960451977401
H,299.1,310.0,1657,33.1,187,0,10.899999999999975,5743.532993121445,6189.7,0.0199758599879299
M,299.1,310.0,1437,41.1,192,0,10.899999999999975,6184.82204119569,7891.200000000001,0.0286012526096033
M,299.1,310.0,1580,36.0,195,0,10.899999999999975,5956.459671206248,7020.0,0.0227848101265822
M,299.0,310.0,1488,46.3,198,0,11.0,7214.604697115888,9167.4,0.0311155913978494
L,299.0,309.9,1373,55.7,201,1,10.899999999999975,8008.558464506613,11195.7,0.0405680990531682
L,299.1,310.0,1367,56.3,203,1,10.899999999999975,8059.452265494766,11428.9,0.041185076810534
H,299.1,310.0,1431,49.5,205,0,10.899999999999975,7417.77149402354,10147.5,0.0345911949685534
L,299.0,310.1,1623,33.0,210,0,11.100000000000025,5608.685364453858,6930.0,0.0203327171903881
L,299.0,310.0,1484,39.6,212,0,11.0,6154.003017263974,8395.2,0.0266846361185983
L,299.0,309.9,1548,34.5,214,0,10.899999999999975,5592.663241920551,7383.0,0.0222868217054263
L,298.9,309.8,1287,61.9,216,1,10.900000000000034,8342.530707534232,13370.4,0.048096348096348
M,298.9,309.8,1392,43.1,218,0,10.900000000000034,6282.682652355012,9395.8,0.0309626436781609
H,299.0,310.0,1458,44.9,221,0,11.0,6855.394993104431,9922.9,0.03079561042524
M,299.1,310.1,1570,30.9,226,0,11.0,5080.269480120055,6983.4,0.0196815286624203
L,299.1,310.1,1435,48.8,229,1,11.0,7333.315011519534,11175.2,0.0340069686411149
L,299.1,310.2,1317,54.8,231,1,11.099999999999966,7557.792278594037,12658.8,0.0416097190584662
L,299.2,310.3,1610,33.3,233,0,11.100000000000025,5614.340231230319,7758.9,0.0206832298136645
M,299.1,310.3,1838,24.0,235,0,11.199999999999989,4619.397837838432,5640.0,0.0130576713819368
L,299.2,310.3,1352,48.9,238,1,11.100000000000025,6923.316226275042,11638.2,0.0361686390532544
L,299.1,310.3,1619,35.2,240,0,11.199999999999989,5967.853180563267,8448.0,0.0217418159357628
L,299.1,310.3,1619,31.1,242,0,11.199999999999989,5272.733918054478,7526.200000000001,0.0192093885114268
L,299.0,310.2,1690,30.7,244,0,11.199999999999989,5433.175054873308,7490.8,0.0181656804733727
L,299.0,310.2,1412,44.1,246,0,11.199999999999989,6520.815375497118,10848.6,0.0312322946175637
H,299.0,310.2,1744,31.5,0,0,11.199999999999989,5752.884467253628,0.0,0.0180619266055045
M,299.0,310.1,1593,35.4,5,0,11.100000000000025,5905.377374658877,177.0,0.0222222222222222
L,299.1,310.2,1695,29.6,8,0,11.099999999999966,5253.99955386357,236.8,0.0174631268436578
M,299.0,310.2,1298,57.2,10,0,11.199999999999989,7774.981050712212,572.0,0.0440677966101694
L,299.0,310.1,1886,21.2,13,0,11.100000000000025,4187.030912900381,275.6,0.0112407211028632
L,299.0,310.1,2033,19.3,15,0,11.100000000000025,4108.878559654579,289.5,0.0094933595671421
M,299.1,310.2,1711,28.1,17,0,11.099999999999966,5034.831578373633,477.7000000000001,0.0164231443600233
L,299.1,310.2,1598,33.4,20,0,11.099999999999966,5589.228433952624,668.0,0.02090112640801
L,299.1,310.1,1894,24.2,22,0,11.0,4799.809031958581,532.4,0.0127771911298838
M,299.1,310.1,1412,44.4,24,0,11.0,6565.174663765806,1065.6,0.0314447592067988
L,299.1,310.0,1394,46.6,27,0,10.899999999999975,6802.637180475148,1258.2,0.033428981348637
M,299.0,310.0,1338,56.4,29,0,11.0,7902.487824545909,1635.6,0.042152466367713
H,298.9,309.9,1376,51.0,32,0,11.0,7348.813535277243,1632.0,0.037063953488372
L,299.0,310.0,1360,48.1,37,0,11.0,6850.347500907664,1779.7,0.0353676470588235
L,299.1,310.1,1486,40.7,39,0,11.0,6333.471733588047,1587.3000000000002,0.0273889636608344
M,299.1,310.1,1649,31.6,41,0,11.0,5456.778887677279,1295.6,0.0191631291691934
L,299.1,310.1,1367,45.6,44,0,11.0,6527.726879335015,2006.4,0.0333577176298463
L,299.0,310.1,1362,59.5,46,0,11.100000000000025,8486.384235142108,2737.0,0.0436857562408223
M,298.9,310.0,1520,35.6,48,0,11.100000000000025,5666.59538903503,1708.8000000000002,0.0234210526315789
L,299.0,310.0,1582,31.9,51,0,11.0,5284.766217917726,1626.9,0.0201643489254108
M,299.0,310.0,1667,30.0,53,0,11.0,5237.034953534185,1590.0,0.017996400719856
L,298.9,310.0,1693,28.8,56,0,11.100000000000025,5105.967708026419,1612.8,0.0170112226816302
L,298.9,310.0,1559,33.4,58,0,11.100000000000025,5452.820480933757,1937.2,0.0214239897370109
L,298.9,309.9,1592,32.0,60,0,11.0,5334.843204815948,1920.0,0.0201005025125628
L,298.9,309.9,1404,39.8,62,0,11.0,5851.656140282492,2467.6,0.0283475783475783
M,298.8,309.8,1413,45.5,64,0,11.0,6732.590136275607,2912.0,0.0322009907997169
L,298.8,309.8,1663,28.2,67,0,11.0,4911.0004679446365,1889.4,0.0169573060733613
L,298.8,309.8,1508,36.3,69,0,11.0,5732.401283152223,2504.7,0.0240716180371352
M,298.9,309.8,1353,53.7,71,0,10.900000000000034,7608.528999949512,3812.7,0.0396895787139689
L,298.8,309.8,1485,42.4,74,0,11.0,6593.574661354258,3137.6,0.0285521885521885
L,298.9,310.0,1633,31.2,76,0,11.100000000000025,5335.429635444617,2371.2,0.0191059399877526
L,298.9,310.0,1422,43.6,78,0,11.100000000000025,6492.54104161481,3400.8,0.030661040787623
L,298.9,310.1,1577,41.4,80,0,11.200000000000044,6836.922428301323,3312.0,0.0262523779327837
L,298.9,310.0,1482,41.1,82,0,11.100000000000025,6378.501228289501,3370.2000000000003,0.0277327935222672
M,299.0,310.1,1705,30.1,84,0,11.100000000000025,5374.2701926185,2528.4,0.0176539589442815
L,299.0,310.1,1699,32.9,87,0,11.100000000000025,5853.530623899134,2862.3,0.0193643319599764
L,299.0,310.1,1664,29.7,89,0,11.100000000000025,5175.334073817681,2643.3,0.0178485576923076
M,299.0,310.0,1486,34.6,91,0,11.0,5384.229041330379,3148.6,0.0232839838492597
L,299.1,310.1,1336,61.3,94,0,11.0,8576.212841083752,5762.2,0.0458832335329341
H,299.1,310.1,1429,42.9,96,0,11.0,6419.750339831135,4118.4,0.0300209937018894
M,299.1,310.2,1456,48.4,101,0,11.099999999999966,7379.643031184471,4888.4,0.0332417582417582
L,299.1,310.2,1496,45.0,104,0,11.099999999999966,7049.733914655497,4680.0,0.0300802139037433
L,299.1,310.1,1894,20.1,106,0,11.0,3986.618245552376,2130.6000000000004,0.0106124604012671
L,299.1,310.1,1373,55.6,108,0,11.0,7994.180442128683,6004.8,0.0404952658412236
H,299.0,310.0,1387,45.2,110,0,11.0,6565.132775863759,4972.0,0.0325883201153568
L,298.9,309.9,1500,44.2,115,0,11.0,6942.919764433444,5083.0,0.0294666666666666
L,298.9,309.9,1517,36.6,117,0,11.0,5814.271187704774,4282.2,0.0241265655899802
L,298.9,309.9,1309,56.2,119,0,11.0,7703.792561181866,6687.8,0.0429335370511841
M,298.9,309.9,1357,54.5,121,0,11.0,7744.706569507118,6594.5,0.0401621223286661
L,298.8,309.8,1490,40.6,124,0,11.0,6334.916866208699,5034.400000000001,0.027248322147651
H,298.8,309.8,1911,21.6,126,0,11.0,4322.580163927269,2721.6000000000004,0.0113029827315541
L,298.8,309.8,1599,33.6,131,0,11.0,5626.215451460888,4401.6,0.0210131332082551
M,298.8,309.7,2098,19.0,133,0,10.899999999999975,4174.338878579878,2527.0,0.0090562440419447
M,298.7,309.7,1629,27.9,136,0,11.0,4759.418622408929,3794.4,0.0171270718232044
L,298.8,309.8,1557,37.2,139,0,11.0,6065.410104432742,5170.8,0.0238921001926782
L,298.8,309.8,1461,39.4,141,0,11.0,6028.025151855023,5555.4,0.0269678302532511
L,298.8,309.8,1563,33.7,143,0,11.0,5515.914133393351,4819.1,0.0215611004478566
L,298.7,309.8,1695,29.0,145,0,11.100000000000025,5147.499562906875,4205.0,0.0171091445427728
L,298.8,310.0,1528,36.7,147,0,11.199999999999989,5872.432539698233,5394.900000000001,0.0240183246073298
L,298.8,310.0,1389,49.6,149,0,11.199999999999989,7214.604697115888,7390.400000000001,0.0357091432685385
L,298.9,310.0,2231,17.4,151,0,11.100000000000025,4065.1580618921207,2627.4,0.0077991931869116
M,298.9,310.1,1442,42.9,153,0,11.200000000000044,6478.152547261368,6563.7,0.029750346740638
H,298.9,310.1,1458,44.3,156,0,11.200000000000044,6763.786151325752,6910.799999999999,0.0303840877914951
L,299.0,310.1,1444,47.7,161,0,11.100000000000025,7212.971068936021,7679.700000000001,0.0330332409972299
M,298.9,310.0,1348,58.2,163,0,11.100000000000025,8215.641780255739,9486.6,0.0431750741839762
L,298.9,310.0,1791,27.6,166,0,11.100000000000025,5176.465047172974,4581.6,0.0154103852596314
L,299.0,310.0,1509,38.0,168,0,11.0,6004.840198071531,6384.0,0.0251822398939695
L,298.9,310.0,1515,42.9,170,0,11.100000000000025,6806.103404369608,7293.0,0.0283168316831683
M,298.9,310.1,1655,31.5,172,0,11.200000000000044,5459.302633775663,5418.0,0.0190332326283987
L,298.9,310.1,1495,42.9,175,0,11.200000000000044,6716.253854476939,7507.5,0.028695652173913
L,298.9,310.2,1623,37.2,177,0,11.300000000000011,6322.51804720253,6584.400000000001,0.0229205175600739
L,298.9,310.2,1562,42.5,179,0,11.300000000000011,6951.820943618614,7607.5,0.0272087067861715
L,298.8,310.1,1574,36.2,181,0,11.300000000000011,5966.805983012071,6552.200000000001,0.0229987293519695
L,298.8,310.0,1611,32.4,183,0,11.199999999999989,5465.994226127809,5929.2,0.0201117318435754
L,298.8,310.0,1403,45.6,185,0,11.199999999999989,6699.634829339449,8436.0,0.0325017818959372
